,time HR,HR,time ET,ET,time EH,EH,time ST,ST,time GSR,GSR,time Acc,Acc,time SR,SR,time Risk,Risk,time HI Risk,HI Risk,time CT Risk,CT Risk,time LR Risk,LR Risk,time est CT,est CT
79,1488326815.3227892,81.0,1488326816.4932349,33.1,1488326815.172915,0.6914,,,1488326815.262466,449.0,,,,,1488327111.6881962,0.09013308675228075,1488327111.6881962,0.2685294683358805,1488327111.6881962,0.001311010858337146,1488327111.6881962,0.0005587810626246139,1488326815.3227892,37.08895860440337
80,1488326816.7927911,80.0,1488326817.9632692,33.16,1488326816.6422222,0.6901,,,1488326816.731988,454.0,,,,,1488327116.9649029,0.09058346803273239,1488327116.9649029,0.26979975400063866,1488327116.9649029,0.0013451228865857365,1488327116.9649029,0.0006055272109727959,1488326816.7927911,37.086033560404985
81,1488326818.292913,80.0,1488326819.433017,33.18,1488326818.112906,0.6886,,,1488326818.202979,462.0,,,,,1488327122.421431,0.0910299770947422,1488327122.421431,0.2710687719581273,1488327122.421431,0.0013720638538475829,1488327122.421431,0.0006490954722517008,1488326818.292913,37.08325707179037
82,1488326819.762411,81.0,1488326820.932983,33.23,1488326819.583015,0.6869,,,1488326819.672338,753.0,,,,,1488327127.8630688,0.09121027747267428,1488327127.8630688,0.2715756618194274,1488327127.8630688,0.001384967070080046,1488327127.8630688,0.0006702035285153857,1488326819.762411,37.08175692997802
83,1488326821.23322,83.0,1488326822.402836,33.26,1488326821.0538182,0.6851,,,1488326821.1430242,742.0,,,,,1488327133.70995,0.09180471740149308,1488327133.70995,0.27335126880505156,1488327133.70995,0.0013742674650180481,1488327133.70995,0.0006886159344096215,1488326821.23322,37.08260412202209
84,1488326822.7027378,84.0,1488326823.873133,33.28,1488326822.523744,0.6846,,,1488326822.612911,406.0,,,,,1488327138.9761658,0.09195935575437547,1488327138.9761658,0.27385754271213214,1488327138.9761658,0.0013358465982690093,1488327138.9761658,0.0006846779527252404,1488326822.7027378,37.08454251202867
85,1488326824.172842,84.0,1488326825.342746,33.34,1488326824.0226939,0.6844,,,1488326824.082741,397.0,,,,,1488327144.306724,0.09229990943042521,1488327144.306724,0.2748681162298402,1488327144.306724,0.0013203164964214712,1488327144.306724,0.0007112955650139651,1488326824.172842,37.086380390612945
86,1488326825.643151,84.0,1488326826.8132942,33.37,1488326825.493012,0.684,,,1488326825.552722,401.0,,,,,1488327149.647434,0.0925502842153587,1488327149.647434,0.275627631992015,1488327149.647434,0.0013159391687535213,1488327149.647434,0.0007072814853075831,1488326825.643151,37.088123136955616
87,1488326827.113179,83.0,1488326828.283204,33.43,1488326826.962594,0.6829000000000001,,,1488326827.053088,400.0,,,,,1488327155.0745962,0.09263352541540211,1488327155.0745962,0.27588180981245275,1488327155.0745962,0.0013231549371619398,1488327155.0745962,0.000695611496591626,1488326827.113179,37.08864186976361
88,1488326828.582879,82.0,1488326829.752865,33.47,1488326828.4333398,0.6835,,,1488326828.5230532,407.0,,,,,1488327160.643243,0.09305919056018382,1488327160.643243,0.2771446258667314,1488327160.643243,0.0013283460203756536,1488327160.643243,0.000704599793444421,1488326828.582879,37.08799999547751
89,1488326830.082809,82.0,1488326831.2239602,33.5,1488326829.903146,0.6835,,,1488326829.992723,437.0,,,,,1488327165.987968,0.09325413957803215,1488327165.987968,0.2776473162180551,1488327165.987968,0.0013681236444198456,1488327165.987968,0.0007469788716215279,1488326830.082809,37.087390997979305
90,1488326831.553241,82.0,1488326832.7231119,33.54,1488326831.3736682,0.6831,,,1488326831.4635231,436.0,,,,,1488327171.243671,0.09327660182637144,1488327171.243671,0.27764402850596326,1488327171.243671,0.0013863075095275322,1488327171.243671,0.0007994694636235546,1488326831.553241,37.08681321875983
91,1488326833.0233228,82.0,1488326834.193758,33.57,1488326832.844369,0.6831999999999999,,,1488326832.933495,437.0,,,,,1488327176.603981,0.0937194319532697,1488327176.603981,0.2789022945321898,1488327176.603981,0.001408349564451131,1488327176.603981,0.0008476517631681735,1488326833.0233228,37.08626507905575
